polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0031_2DKWS_segment-1,291210.5837,288825.2673,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291212.3389,288821.7585,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291212.7657,288820.9053,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291213.0301,288819.5973,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291214.1643,288817.1649,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291214.5259,288815.7543,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291215.8109,288811.5167,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291216.8315,288808.5871,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291217.3683,288806.2711,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291218.4753,288802.8389,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291219.1985,288800.0177,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291220.3835,288795.7829,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-1,291220.4589,288794.8803,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-2,291220.4589,288794.8803,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-2,291220.4589,288794.8803,30.6515,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291220.4589,288794.8803,30.6515,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291220.9041,288792.8669,30.617,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291221.9563,288787.4351,30.516,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291223.4863,288781.1897,30.4471,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291224.1905,288777.6685,30.4334,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291226.2823,288770.0071,30.3275,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291227.9343,288764.5587,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291229.4781,288758.8133,30.1118,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291231.6863,288751.7491,29.977,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291234.1755,288743.9765,29.8567,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291210.5837,288825.2673,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291212.3389,288821.7585,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291212.7657,288820.9053,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291213.0301,288819.5973,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291214.1643,288817.1649,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291214.5259,288815.7543,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291215.8109,288811.5167,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291216.8315,288808.5871,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291217.3683,288806.2711,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291218.4753,288802.8389,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
