polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
EUS-01-0038_FAD7_segment-3,291156.4121,288896.8884,32.6756,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291157.0928,288896.1694,32.676,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291162.225,288889.9255,32.6049,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291166.971,288884.1925,32.5383,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291171.3089,288878.1705,32.4303,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291173.9962,288873.9947,32.406,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291179.3847,288866.1429,32.3907,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291184.3896,288858.902,32.2588,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291190.0807,288851.142,32.0913,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291193.646,288846.1417,32.0565,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291197.295,288840.5388,32.0335,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291202.3862,288832.7952,31.9545,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291204.5873,288829.1329,31.8663,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291206.0105,288826.2924,31.8255,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291208.0035,288822.3356,31.7793,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291209.8992,288818.4816,31.8883,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291211.3032,288814.9412,31.7003,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291212.3964,288811.009,31.596,CI,152.4,10.922,3.658
EUS-01-0038_FAD7_segment-3,291212.4827,288810.5064,31.596,CI,152.4,10.922,3.658
