polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
EUS-01-0038_FCXR_segment-1,291114.0122,288941.6727,32.816,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291114.6205,288938.6631,32.8102,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291115.5985,288933.8248,32.9178,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291119.0159,288930.7296,32.9026,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291125.0261,288925.2754,32.889,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291127.3147,288923.1985,32.8474,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291136.786,288914.6348,32.815,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291145.2794,288906.8983,32.8388,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291151.336,288901.5297,32.7849,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291155.6368,288897.8101,32.706,CI,152.4,10.922,3.658
EUS-01-0038_FCXR_segment-1,291156.4121,288896.8884,32.6755,CI,152.4,10.922,3.658
