polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
EUS-01-0040_1C72O_segment-1,289964.3529,289145.6188,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,290249.0016,289151.6956,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,290305.417,289146.6915,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,290388.5433,289126.5287,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,290876.2225,288976.2488,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,291333.9426,288884.4513,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,291806.2727,288790.1736,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,292604.6294,288632.7437,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,292683.004,288607.5182,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,292741.0721,288578.8154,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,293015.7818,288411.4547,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,293343.9287,288214.3674,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,293410.6292,288184.8484,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
EUS-01-0040_1C72O_segment-1,293586.5682,288140.2256,30.0,Concrete bolted segmental primary lining; cast in-situ RC  secondary lining and composite lining,,,3.658
