polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20078_MWCC_UTI_71078_segment-1,291018.382,289000.5595,33.745,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291025.1137,289004.3559,34.245,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291028.2665,289005.0104,34.745,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291038.0817,289000.9203,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291062.1615,288984.7637,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291065.4952,288982.2075,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291074.5763,288974.4947,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291080.0775,288970.1354,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291099.0776,288949.5853,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291110.0525,288938.7601,35.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291151.3162,288901.7434,35.245,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291170.6155,288878.5473,35.245,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291174.5578,288873.1333,35.245,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291186.2427,288856.85,34.335,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291197.5993,288840.2526,34.335,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291200.1193,288836.3606,34.335,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291208.0163,288821.9913,34.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291211.4402,288819.0173,34.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291213.6432,288818.3854,34.345,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291222.6354,288816.6183,34.395,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291231.7588,288820.6744,34.445,PE,83.0,3.5,3.658
LON-01-20078_MWCC_UTI_71078_segment-1,291321.3442,288877.1577,29.9,PE,83.0,3.5,3.658
