polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
LON-01-20690A_MWCC_UTI_70216_segment-1,290609.8113,289622.5283,31.779999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290616.5377,289617.3879,31.779999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290623.2639,289612.2479,31.84,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290629.9903,289607.1075,31.869999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290636.7167,289601.9675,31.869999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290649.7521,289591.8155,31.82,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290665.6993,289579.3503,31.860001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290681.6465,289566.8853,31.939999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290697.5939,289554.4203,31.919998,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290709.1061,289546.0983,32.099998,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290713.0161,289544.8785,32.099998,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290716.9261,289543.6589,31.75,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290720.8361,289542.4389,31.919998,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290724.8599,289541.0701,31.93,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290730.9367,289537.0181,31.869999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290737.0137,289532.9659,31.860001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290743.0905,289528.9137,31.889999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290749.1673,289524.8617,31.900002,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290752.7637,289521.7853,31.939999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290755.4745,289519.0573,31.939999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290758.1851,289516.3293,31.91,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290760.8957,289513.6015,31.93,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290763.6521,289510.8275,31.939999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290766.4711,289507.9905,31.93,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290769.2901,289505.1535,31.970001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290772.1091,289502.3165,32.0,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290774.8711,289499.4911,32.009998,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290777.1469,289496.7665,32.060001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290779.4227,289494.0415,32.09,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290781.6987,289491.3169,32.040001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290783.9745,289488.5919,32.040001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290788.0445,289482.6041,32.110001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290792.5927,289475.7461,32.150002,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290797.1411,289468.8881,32.09,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290801.6895,289462.0301,32.119999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290807.6227,289453.0581,32.07,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290815.0947,289441.7373,32.139999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290822.5671,289430.4163,31.880001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290830.0391,289419.0953,31.700001,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290840.7261,289403.1191,31.509998,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290868.5605,289362.3139,30.799999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290896.3947,289321.5087,29.58,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290924.2289,289280.7035,28.43,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290952.0631,289239.8983,27.309999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290960.6541,289227.6777,26.969999,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290965.6373,289220.8165,26.82,PE,90.0,8.2,3.658
LON-01-20690A_MWCC_UTI_70216_segment-1,290970.6203,289213.9553,26.530001,PE,90.0,8.2,3.658
