polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0026_510890085_segment-9,291191.918,288865.275,33.5,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291203.2489,288849.7064,33.1,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291210.5888,288839.1248,33.1,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291223.1938,288815.2665,33.1,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291225.5742,288801.6936,32.75,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291237.8808,288753.2042,32.0,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291250.8236,288718.8307,31.75,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291267.6289,288679.3486,31.7,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291282.7046,288649.7946,31.2,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291292.3166,288635.3987,30.0,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291316.3805,288605.2237,29.7,Polyethylene,180.0,12.0,3.658
SCS-01-0026_510890085_segment-9,291327.3311,288594.0431,28.7,Polyethylene,180.0,12.0,3.658
