polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0031_2DKWS_segment-3,291220.4589,288794.8803,30.6515,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291220.9041,288792.8669,30.617,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291221.9563,288787.4351,30.516,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291223.4863,288781.1897,30.4471,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291224.1905,288777.6685,30.4334,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291226.2823,288770.0071,30.3275,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291227.9343,288764.5587,30.227,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291229.4781,288758.8133,30.1118,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291231.6863,288751.7491,29.977,Brick,914.0,225.0,3.658
SCS-01-0031_2DKWS_segment-3,291234.1755,288743.9765,29.8567,Brick,914.0,225.0,3.658
