polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0031_2DKWZ_segment-1,291210.5837,288825.2673,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291212.3389,288821.7585,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291212.7657,288820.9053,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291213.0301,288819.5973,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291214.1643,288817.1649,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291214.5259,288815.7543,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291215.8109,288811.5167,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291216.8315,288808.5871,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291217.3683,288806.2711,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291218.4753,288802.8389,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291219.1985,288800.0177,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291220.3835,288795.7829,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
SCS-01-0031_2DKWZ_segment-1,291220.4589,288794.8803,30.227,"Brick sewer, red/yellow brick",914.0,225.0,3.658
