polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0034_2DN3D_segment-1,291094.8942,288959.7054,31.79,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291099.9648,288954.8641,31.7165,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291104.6409,288950.2337,31.6476,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291108.6362,288946.3223,31.589,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291112.9315,288942.4026,31.528,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291116.7378,288938.8966,31.4738,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291121.3249,288934.6689,31.4084,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291126.4063,288930.2275,31.3377,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291131.3878,288925.7888,31.2678,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291136.1803,288921.7555,31.2022,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291140.0702,288917.6469,31.1429,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291146.5967,288911.1648,31.0465,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291150.3058,288907.7615,30.9937,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291153.1287,288904.8827,30.9515,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291156.6241,288900.985,30.8966,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291160.6949,288896.1709,30.8305,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291164.7547,288890.957,30.7613,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291169.8978,288885.1131,30.6797,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291174.1494,288879.5938,30.6067,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291178.1119,288874.4825,30.5389,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291183.514,288867.1307,30.4433,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291189.1161,288859.7734,30.3464,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291193.6402,288853.246,30.2632,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291196.8193,288848.7565,30.2055,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291199.404,288844.4834,30.1532,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291203.3419,288838.4724,30.0779,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291206.2128,288833.6912,30.0195,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
SCS-01-0034_2DN3D_segment-1,291210.585,288825.2668,29.92,"Vitrified Clay, 125mm to 375mm",300.0,30.0,3.658
