polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0040_6L8A5_segment-2,291207.9445,288828.8287,31.6956,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291211.2513,288823.0461,31.6576,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291213.5105,288817.8685,31.6549,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291214.1105,288814.2291,31.55,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291216.1983,288806.4159,31.507,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291218.8515,288796.2395,31.312,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291220.0357,288790.3161,31.2,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291221.3555,288783.7145,31.0995,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291223.1541,288775.0405,31.0783,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291226.1343,288762.5135,30.8347,PE,180.0,16.38,0.195
SCS-01-0040_6L8A5_segment-2,291227.4871,288757.3851,30.6973,PE,180.0,16.38,0.195
