polyline,x,y,z,acceptance_criteria,internal diameter,wall thickness,pipe_segment_length
SCS-01-0047_UKPN_LV_1249_segment-1,291190.0989,288873.1621,34.0519,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291189.1161,288872.0525,34.0519,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291188.7607,288872.0261,34.0333,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291187.7117,288873.2591,34.0091,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291186.7509,288874.2037,34.0105,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291186.2351,288874.2317,34.0119,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291185.7723,288873.8957,33.995,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291183.0635,288871.9561,33.9199,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291181.4977,288870.7325,33.8741,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291179.1783,288868.6913,33.7599,PE,250.0,25.0,3.658
SCS-01-0047_UKPN_LV_1249_segment-1,291178.1867,288867.9313,33.885,PE,250.0,25.0,3.658
